@relation zoo-weka.filters.unsupervised.attribute.NominalToBinary-A-Rfirst-last

@attribute name=aardvark numeric
@attribute name=antelope numeric
@attribute name=bass numeric
@attribute name=bear numeric
@attribute name=boar numeric
@attribute name=buffalo numeric
@attribute name=calf numeric
@attribute name=carp numeric
@attribute name=catfish numeric
@attribute name=cavy numeric
@attribute name=cheetah numeric
@attribute name=chicken numeric
@attribute name=chub numeric
@attribute name=clam numeric
@attribute name=crab numeric
@attribute name=crayfish numeric
@attribute name=crow numeric
@attribute name=deer numeric
@attribute name=dogfish numeric
@attribute name=dolphin numeric
@attribute name=dove numeric
@attribute name=duck numeric
@attribute name=elephant numeric
@attribute name=flamingo numeric
@attribute name=flea numeric
@attribute name=frog numeric
@attribute name=fruitbat numeric
@attribute name=giraffe numeric
@attribute name=girl numeric
@attribute name=gnat numeric
@attribute name=goat numeric
@attribute name=gorilla numeric
@attribute name=gull numeric
@attribute name=haddock numeric
@attribute name=hamster numeric
@attribute name=hare numeric
@attribute name=hawk numeric
@attribute name=herring numeric
@attribute name=honeybee numeric
@attribute name=housefly numeric
@attribute name=kiwi numeric
@attribute name=ladybird numeric
@attribute name=lark numeric
@attribute name=leopard numeric
@attribute name=lion numeric
@attribute name=lobster numeric
@attribute name=lynx numeric
@attribute name=mink numeric
@attribute name=mole numeric
@attribute name=mongoose numeric
@attribute name=moth numeric
@attribute name=newt numeric
@attribute name=octopus numeric
@attribute name=opossum numeric
@attribute name=oryx numeric
@attribute name=ostrich numeric
@attribute name=parakeet numeric
@attribute name=penguin numeric
@attribute name=pheasant numeric
@attribute name=pike numeric
@attribute name=piranha numeric
@attribute name=pitviper numeric
@attribute name=platypus numeric
@attribute name=polecat numeric
@attribute name=pony numeric
@attribute name=porpoise numeric
@attribute name=puma numeric
@attribute name=pussycat numeric
@attribute name=raccoon numeric
@attribute name=reindeer numeric
@attribute name=rhea numeric
@attribute name=scorpion numeric
@attribute name=seahorse numeric
@attribute name=seal numeric
@attribute name=sealion numeric
@attribute name=seasnake numeric
@attribute name=seawasp numeric
@attribute name=skimmer numeric
@attribute name=skua numeric
@attribute name=slowworm numeric
@attribute name=slug numeric
@attribute name=sole numeric
@attribute name=sparrow numeric
@attribute name=squirrel numeric
@attribute name=starfish numeric
@attribute name=stingray numeric
@attribute name=swan numeric
@attribute name=termite numeric
@attribute name=toad numeric
@attribute name=tortoise numeric
@attribute name=tuatara numeric
@attribute name=tuna numeric
@attribute name=vampire numeric
@attribute name=vole numeric
@attribute name=vulture numeric
@attribute name=wallaby numeric
@attribute name=wasp numeric
@attribute name=wolf numeric
@attribute name=worm numeric
@attribute name=wren numeric
@attribute hair numeric
@attribute feathers numeric
@attribute eggs numeric
@attribute milk numeric
@attribute airbone numeric
@attribute aquatic numeric
@attribute predator numeric
@attribute toothed numeric
@attribute backbone numeric
@attribute breathes numeric
@attribute venomous numeric
@attribute fings numeric
@attribute legs numeric
@attribute tail numeric
@attribute domestic numeric
@attribute catsize numeric
@attribute class {1,2,3,4,5,6,7}

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
